TQ:Q, TS:S, qindex, sindex, q, s, d
77649:1, 970:3, 0, 10, [], [], 0.000
77649:1, 1724:4, 0, 10, [], [], 0.000
77649:1, 1744:1, 0, 8, [], [], 0.000
77649:1, 2113:2, 0, 4, [], [], 0.000
77649:1, 2830:4, 0, 7, [], [], 0.000
77649:1, 2855:0, 0, 0, [], [], 0.000
77649:1, 3362:0, 0, 0, [], [], 0.000
77649:1, 3417:0, 0, 0, [], [], 0.000
77649:1, 3484:3, 0, 6, [], [], 0.000
77649:1, 3793:0, 0, 0, [], [], 0.000
77649:1, 3867:3, 0, 12, [], [], 0.000
77649:1, 4004:3, 0, 5, [], [], 0.000
77649:1, 4501:3, 0, 1, [], [], 0.000
77649:1, 4635:3, 0, 4, [], [], 0.000
77649:1, 4709:3, 0, 3, [], [], 0.000
77649:1, 4992:3, 0, 8, [], [], 0.000
77649:1, 5491:1, 0, 2, [], [], 0.000
77649:1, 6334:3, 0, 12, [], [], 0.000
77649:1, 6537:0, 0, 0, [], [], 0.000
77649:1, 6832:3, 0, 8, [], [], 0.000
77649:1, 8501:3, 0, 2, [], [], 0.000
77649:1, 8716:3, 0, 7, [], [], 0.000
77649:1, 9023:3, 0, 17, [], [], 0.000
77649:1, 9070:0, 0, 0, [], [], 0.000
77649:1, 9077:3, 0, 6, [], [], 0.000
77649:1, 9086:3, 0, 4, [], [], 0.000
77649:1, 9147:3, 0, 8, [], [], 0.000
77649:1, 10181:3, 0, 5, [], [], 0.000
77649:1, 10518:0, 0, 0, [], [], 0.000
77649:1, 10601:3, 0, 3, [], [], 0.000
77649:1, 10696:0, 0, 0, [], [], 0.000
77649:1, 10801:0, 0, 0, [], [], 0.000
77649:1, 11288:3, 0, 2, [], [], 0.000
77649:1, 11363:0, 0, 0, [], [], 0.000
77649:1, 12284:3, 0, 42, [], [], 0.000
77649:1, 12338:4, 0, 13, [], [], 0.000
77649:1, 12403:2, 0, 2, [], [], 0.000
77649:1, 12593:3, 0, 4, [], [], 0.000
77649:1, 12832:0, 0, 0, [], [], 0.000
77649:1, 12884:3, 0, 6, [], [], 0.000
77649:1, 13247:0, 0, 0, [], [], 0.000
77649:1, 13970:3, 0, 25, [], [], 0.000
77649:1, 15077:0, 0, 0, [], [], 0.000
77649:1, 15482:0, 0, 0, [], [], 0.000
77649:1, 16372:0, 0, 0, [], [], 0.000
77649:1, 16874:0, 0, 0, [], [], 0.000
77649:1, 17095:2, 0, 3, [], [], 0.000
77649:1, 17374:1, 0, 9, [], [], 0.000
77649:1, 17463:3, 0, 5, [], [], 0.000
77649:1, 17829:0, 0, 0, [], [], 0.000
77649:1, 18157:0, 0, 0, [], [], 0.000
77649:1, 18180:4, 0, 4, [], [], 0.000
77649:1, 18739:4, 0, 4, [], [], 0.000
77649:1, 19156:4, 0, 4, [], [], 0.000
77649:1, 19443:0, 0, 0, [], [], 0.000
77649:1, 19809:3, 0, 6, [], [], 0.000
77649:1, 19826:3, 0, 3, [], [], 0.000
77649:1, 19994:3, 0, 2, [], [], 0.000
77649:1, 20101:0, 0, 0, [], [], 0.000
77649:1, 20348:4, 0, 10, [], [], 0.000
77649:1, 20576:3, 0, 2, [], [], 0.000
77649:1, 20965:3, 0, 2, [], [], 0.000
77649:1, 20949:3, 0, 7, [], [], 0.000
77649:1, 21111:3, 0, 10, [], [], 0.000
77649:1, 21413:3, 0, 10, [], [], 0.000
77649:1, 22052:4, 0, 60, [], [], 0.000
77649:1, 22249:0, 0, 0, [], [], 0.000
77649:1, 22694:2, 0, 2, [], [], 0.000
77649:1, 22921:0, 0, 0, [], [], 0.000
77649:1, 23018:0, 0, 0, [], [], 0.000
77649:1, 23298:3, 0, 6, [], [], 0.000
77649:1, 23419:4, 0, 31, [], [], 0.000
77649:1, 23483:3, 0, 8, [], [], 0.000
77649:1, 23606:4, 0, 8, [], [], 0.000
77649:1, 23615:1, 0, 15, [], [], 0.000
77649:1, 23654:1, 0, 3, [], [], 0.000
77649:1, 23910:1, 0, 21, [], [], 0.000
77649:1, 24544:3, 0, 9, [], [], 0.000
77649:1, 24608:0, 0, 0, [], [], 0.000
77649:1, 24674:0, 0, 0, [], [], 0.000
77649:1, 24752:2, 0, 4, [], [], 0.000
77649:1, 25134:3, 0, 2, [], [], 0.000
77649:1, 25645:3, 0, 3, [], [], 0.000
77649:1, 25683:0, 0, 0, [], [], 0.000
77649:1, 26117:3, 0, 3, [], [], 0.000
77649:1, 26412:0, 0, 0, [], [], 0.000
77649:1, 26491:3, 0, 4, [], [], 0.000
77649:1, 26607:0, 0, 0, [], [], 0.000
77649:1, 27106:3, 0, 11, [], [], 0.000
77649:1, 27166:0, 0, 0, [], [], 0.000
77649:1, 27239:3, 0, 13, [], [], 0.000
77649:1, 27562:3, 0, 2, [], [], 0.000
77649:1, 27905:3, 0, 3, [], [], 0.000
77649:1, 28156:2, 0, 2, [], [], 0.000
77649:1, 28362:3, 0, 10, [], [], 0.000
77649:1, 28597:0, 0, 0, [], [], 0.000
77649:1, 28762:1, 0, 3, [], [], 0.000
77649:1, 29115:3, 0, 6, [], [], 0.000
77649:1, 29138:3, 0, 2, [], [], 0.000
77649:1, 29276:2, 0, 8, [], [], 0.000
77649:1, 970:3, 1, 10, [], [], 0.000
77649:1, 1724:4, 1, 10, [], [], 0.000
77649:1, 1744:1, 1, 8, [], [], 0.000
77649:1, 2113:2, 1, 4, [], [], 0.000
77649:1, 2830:4, 1, 7, [], [], 0.000
77649:1, 2855:0, 1, 0, [], [], 0.000
77649:1, 3362:0, 1, 0, [], [], 0.000
77649:1, 3417:0, 1, 0, [], [], 0.000
77649:1, 3484:3, 1, 6, [], [], 0.000
77649:1, 3793:0, 1, 0, [], [], 0.000
77649:1, 3867:3, 1, 12, [], [], 0.000
77649:1, 4004:3, 1, 5, [], [], 0.000
77649:1, 4501:3, 1, 1, [], [], 0.000
77649:1, 4635:3, 1, 4, [], [], 0.000
77649:1, 4709:3, 1, 3, [], [], 0.000
77649:1, 4992:3, 1, 8, [], [], 0.000
77649:1, 5491:1, 1, 2, [], [], 0.000
77649:1, 6334:3, 1, 12, [], [], 0.000
77649:1, 6537:0, 1, 0, [], [], 0.000
77649:1, 6832:3, 1, 8, [], [], 0.000
77649:1, 8501:3, 1, 2, [], [], 0.000
77649:1, 8716:3, 1, 7, [], [], 0.000
77649:1, 9023:3, 1, 17, [], [], 0.000
77649:1, 9070:0, 1, 0, [], [], 0.000
77649:1, 9077:3, 1, 6, [], [], 0.000
77649:1, 9086:3, 1, 4, [], [], 0.000
77649:1, 9147:3, 1, 8, [], [], 0.000
77649:1, 10181:3, 1, 5, [], [], 0.000
77649:1, 10518:0, 1, 0, [], [], 0.000
77649:1, 10601:3, 1, 3, [], [], 0.000
77649:1, 10696:0, 1, 0, [], [], 0.000
77649:1, 10801:0, 1, 0, [], [], 0.000
77649:1, 11288:3, 1, 2, [], [], 0.000
77649:1, 11363:0, 1, 0, [], [], 0.000
77649:1, 12284:3, 1, 42, [], [], 0.000
77649:1, 12338:4, 1, 13, [], [], 0.000
77649:1, 12403:2, 1, 2, [], [], 0.000
77649:1, 12593:3, 1, 4, [], [], 0.000
77649:1, 12832:0, 1, 0, [], [], 0.000
77649:1, 12884:3, 1, 6, [], [], 0.000
77649:1, 13247:0, 1, 0, [], [], 0.000
77649:1, 13970:3, 1, 25, [], [], 0.000
77649:1, 15077:0, 1, 0, [], [], 0.000
77649:1, 15482:0, 1, 0, [], [], 0.000
77649:1, 16372:0, 1, 0, [], [], 0.000
77649:1, 16874:0, 1, 0, [], [], 0.000
77649:1, 17095:2, 1, 3, [], [], 0.000
77649:1, 17374:1, 1, 9, [], [], 0.000
77649:1, 17463:3, 1, 5, [], [], 0.000
77649:1, 17829:0, 1, 0, [], [], 0.000
77649:1, 18157:0, 1, 0, [], [], 0.000
77649:1, 18180:4, 1, 4, [], [], 0.000
77649:1, 18739:4, 1, 4, [], [], 0.000
77649:1, 19156:4, 1, 4, [], [], 0.000
77649:1, 19443:0, 1, 0, [], [], 0.000
77649:1, 19809:3, 1, 6, [], [], 0.000
77649:1, 19826:3, 1, 3, [], [], 0.000
77649:1, 19994:3, 1, 2, [], [], 0.000
77649:1, 20101:0, 1, 0, [], [], 0.000
77649:1, 20348:4, 1, 10, [], [], 0.000
77649:1, 20576:3, 1, 2, [], [], 0.000
77649:1, 20965:3, 1, 2, [], [], 0.000
77649:1, 20949:3, 1, 7, [], [], 0.000
