TQ:Q, TS:S, q_pos, s_pos, q, s, d
77637:1, 2:0, 0, 4, [], [], 0.000
77637:1, 4:2, 0, 4, [], [], 0.000
77637:1, 12:1, 0, 0, [], [], 0.000
77637:1, 20:0, 0, 4, [], [], 0.000
77637:1, 22:9, 0, 4, [], [], 0.000
77637:1, 29:1, 0, 0, [], [], 0.000
77637:1, 31:1, 0, 7, [], [], 0.000
77637:1, 36:0, 0, 4, [], [], 0.000
77637:1, 36:3, 0, 4, [], [], 0.000
77637:1, 36:4, 0, 4, [], [], 0.000
77637:1, 37:1, 0, 0, [], [], 0.000
77637:1, 40:1, 0, 0, [], [], 0.000
77637:1, 41:5, 0, 0, [], [], 0.000
77637:1, 42:1, 0, 3, [], [], 0.000
77637:1, 42:2, 0, 1, [], [], 0.000
77637:1, 43:0, 0, 0, [], [], 0.000
77637:1, 55:2, 0, 0, [], [], 0.000
77637:1, 57:4, 0, 3, [], [], 0.000
77637:1, 57:11, 0, 5, [], [], 0.000
77637:1, 57:13, 0, 3, [], [], 0.000
77637:1, 66:4, 0, 4, [], [], 0.000
77637:1, 66:7, 0, 4, [], [], 0.000
77637:1, 70:1, 0, 5, [], [], 0.000
77637:1, 70:2, 0, 5, [], [], 0.000
77637:1, 77:0, 0, 4, [], [], 0.000
77637:1, 78:0, 0, 4, [], [], 0.000
77637:1, 78:3, 0, 4, [], [], 0.000
77637:1, 78:4, 0, 4, [], [], 0.000
77637:1, 78:5, 0, 4, [], [], 0.000
77637:1, 80:1, 0, 1, [], [], 0.000
77637:1, 85:1, 0, 0, [], [], 0.000
77637:1, 97:0, 0, 0, [], [], 0.000
77637:1, 105:1, 0, 1, [], [], 0.000
77637:1, 115:1, 0, 0, [], [], 0.000
77637:1, 117:3, 0, 4, [], [], 0.000
77637:1, 126:5, 0, 1, [], [], 0.000
77637:1, 138:0, 0, 3, [], [], 0.000
77637:1, 147:4, 0, 0, [], [], 0.000
77637:1, 149:1, 0, 0, [], [], 0.000
77637:1, 151:1, 0, 0, [], [], 0.000
77637:1, 159:4, 0, 3, [], [], 0.000
77637:1, 171:0, 0, 5, [], [], 0.000
77637:1, 171:5, 0, 1, [], [], 0.000
77637:1, 194:0, 0, 4, [], [], 0.000
77637:1, 195:0, 0, 6, [], [], 0.000
77637:1, 2:0, 0, 5, [], [], 0.006
77637:1, 4:2, 0, 5, [], [], 0.006
77637:1, 12:2, 0, 0, [], [], 0.006
77637:1, 20:0, 0, 5, [], [], 0.006
77637:1, 22:9, 0, 5, [], [], 0.006
77637:1, 26:0, 0, 1, [], [], 0.006
77637:1, 31:1, 0, 11, [], [], 0.006
77637:1, 36:0, 0, 5, [], [], 0.006
77637:1, 36:3, 0, 5, [], [], 0.006
77637:1, 36:4, 0, 5, [], [], 0.006
77637:1, 37:2, 0, 0, [], [], 0.006
77637:1, 40:2, 0, 0, [], [], 0.006
77637:1, 41:6, 0, 0, [], [], 0.006
77637:1, 43:1, 0, 0, [], [], 0.006
77637:1, 55:2, 0, 1, [], [], 0.006
77637:1, 57:0, 0, 4, [], [], 0.006
77637:1, 57:4, 0, 4, [], [], 0.006
77637:1, 57:14, 0, 1, [], [], 0.006
77637:1, 66:3, 0, 3, [], [], 0.006
77637:1, 66:6, 0, 4, [], [], 0.006
77637:1, 66:8, 0, 3, [], [], 0.006
77637:1, 70:1, 0, 6, [], [], 0.006
77637:1, 70:2, 0, 6, [], [], 0.006
77637:1, 77:0, 0, 5, [], [], 0.006
77637:1, 78:0, 0, 5, [], [], 0.006
77637:1, 78:3, 0, 5, [], [], 0.006
77637:1, 78:4, 0, 5, [], [], 0.006
77637:1, 78:5, 0, 5, [], [], 0.006
77637:1, 85:2, 0, 0, [], [], 0.006
77637:1, 97:1, 0, 0, [], [], 0.006
77637:1, 115:2, 0, 0, [], [], 0.006
77637:1, 117:3, 0, 5, [], [], 0.006
77637:1, 126:0, 0, 4, [], [], 0.006
77637:1, 126:3, 0, 2, [], [], 0.006
77637:1, 131:3, 0, 0, [], [], 0.006
77637:1, 138:0, 0, 4, [], [], 0.006
77637:1, 149:2, 0, 0, [], [], 0.006
77637:1, 158:2, 0, 1, [], [], 0.006
77637:1, 159:4, 0, 4, [], [], 0.006
77637:1, 171:0, 0, 6, [], [], 0.006
77637:1, 171:4, 0, 1, [], [], 0.006
77637:1, 192:3, 0, 1, [], [], 0.006
77637:1, 192:6, 0, 5, [], [], 0.006
77637:1, 194:0, 0, 5, [], [], 0.006
77637:1, 197:1, 0, 0, [], [], 0.006
77637:1, 2:0, 0, 8, [], [], 0.009
77637:1, 4:2, 0, 8, [], [], 0.009
77637:1, 7:3, 0, 1, [], [], 0.009
77637:1, 12:5, 0, 1, [], [], 0.009
77637:1, 14:7, 0, 2, [], [], 0.009
77637:1, 20:0, 0, 8, [], [], 0.009
77637:1, 22:9, 0, 8, [], [], 0.009
77637:1, 31:1, 0, 16, [], [], 0.009
77637:1, 36:0, 0, 8, [], [], 0.009
77637:1, 36:4, 0, 8, [], [], 0.009
77637:1, 2:0, 1, 12, [], [], 0.000
77637:1, 4:2, 1, 12, [], [], 0.000
77637:1, 12:1, 1, 1, [], [], 0.000
77637:1, 20:0, 1, 12, [], [], 0.000
77637:1, 22:9, 1, 12, [], [], 0.000
77637:1, 31:1, 1, 24, [], [], 0.000
77637:1, 36:0, 1, 12, [], [], 0.000
77637:1, 36:3, 1, 10, [], [], 0.000
77637:1, 37:1, 1, 1, [], [], 0.000
77637:1, 40:1, 1, 1, [], [], 0.000
77637:1, 41:5, 1, 1, [], [], 0.000
77637:1, 42:2, 1, 4, [], [], 0.000
77637:1, 43:0, 1, 1, [], [], 0.000
77637:1, 57:0, 1, 10, [], [], 0.000
77637:1, 57:6, 1, 7, [], [], 0.000
77637:1, 57:11, 1, 9, [], [], 0.000
77637:1, 66:8, 1, 7, [], [], 0.000
77637:1, 70:1, 1, 12, [], [], 0.000
77637:1, 70:2, 1, 12, [], [], 0.000
77637:1, 76:1, 1, 3, [], [], 0.000
77637:1, 77:0, 1, 12, [], [], 0.000
77637:1, 78:0, 1, 12, [], [], 0.000
77637:1, 78:3, 1, 12, [], [], 0.000
77637:1, 78:4, 1, 12, [], [], 0.000
77637:1, 78:5, 1, 12, [], [], 0.000
77637:1, 85:1, 1, 1, [], [], 0.000
77637:1, 86:1, 1, 1, [], [], 0.000
77637:1, 97:0, 1, 1, [], [], 0.000
77637:1, 115:1, 1, 1, [], [], 0.000
77637:1, 118:5, 1, 0, [], [], 0.000
77637:1, 126:3, 1, 6, [], [], 0.000
77637:1, 138:0, 1, 11, [], [], 0.000
77637:1, 149:1, 1, 1, [], [], 0.000
77637:1, 151:1, 1, 5, [], [], 0.000
77637:1, 158:2, 1, 5, [], [], 0.000
77637:1, 159:4, 1, 10, [], [], 0.000
77637:1, 171:0, 1, 7, [], [], 0.000
77637:1, 171:5, 1, 2, [], [], 0.000
77637:1, 182:2, 1, 1, [], [], 0.000
77637:1, 192:5, 1, 1, [], [], 0.000
77637:1, 192:6, 1, 7, [], [], 0.000
77637:1, 194:0, 1, 12, [], [], 0.000
77637:1, 2:0, 1, 6, [], [], 0.014
77637:1, 4:2, 1, 6, [], [], 0.014
77637:1, 12:3, 1, 1, [], [], 0.014
77637:1, 14:1, 1, 3, [], [], 0.014
77637:1, 20:0, 1, 6, [], [], 0.014
77637:1, 22:9, 1, 6, [], [], 0.014
77637:1, 26:3, 1, 0, [], [], 0.014
77637:1, 31:1, 1, 14, [], [], 0.014
77637:1, 36:0, 1, 6, [], [], 0.014
77637:1, 36:3, 1, 6, [], [], 0.014
77637:1, 36:4, 1, 6, [], [], 0.014
77637:1, 37:3, 1, 1, [], [], 0.014
77637:1, 40:3, 1, 1, [], [], 0.014
77637:1, 41:0, 1, 1, [], [], 0.014
77637:1, 43:2, 1, 1, [], [], 0.014
77637:1, 57:4, 1, 5, [], [], 0.014
77637:1, 57:5, 1, 12, [], [], 0.014
77637:1, 57:6, 1, 3, [], [], 0.014
77637:1, 57:12, 1, 5, [], [], 0.014
77637:1, 57:13, 1, 4, [], [], 0.014
77637:1, 66:8, 1, 4, [], [], 0.014
77637:1, 70:1, 1, 7, [], [], 0.014
77637:1, 70:2, 1, 7, [], [], 0.014
77637:1, 77:0, 1, 6, [], [], 0.014
77637:1, 78:0, 1, 6, [], [], 0.014
77637:1, 78:3, 1, 6, [], [], 0.014
77637:1, 78:4, 1, 6, [], [], 0.014
77637:1, 78:5, 1, 6, [], [], 0.014
77637:1, 85:3, 1, 1, [], [], 0.014
77637:1, 86:2, 1, 0, [], [], 0.014
77637:1, 88:3, 1, 0, [], [], 0.014
77637:1, 97:2, 1, 1, [], [], 0.014
77637:1, 115:3, 1, 1, [], [], 0.014
77637:1, 126:5, 1, 2, [], [], 0.014
77637:1, 131:5, 1, 1, [], [], 0.014
77637:1, 134:2, 1, 2, [], [], 0.014
77637:1, 137:5, 1, 1, [], [], 0.014
77637:1, 138:0, 1, 5, [], [], 0.014
77637:1, 149:3, 1, 1, [], [], 0.014
77637:1, 158:2, 1, 2, [], [], 0.014
77637:1, 159:4, 1, 5, [], [], 0.014
77637:1, 194:0, 1, 6, [], [], 0.014
77637:1, 4:2, 1, 16, [], [], 0.016
77637:1, 12:6, 1, 2, [], [], 0.016
77637:1, 22:9, 1, 17, [], [], 0.016
77637:1, 31:1, 1, 29, [], [], 0.016
77637:1, 36:0, 1, 17, [], [], 0.016
