TQ:Q, TS:S, q_pos, s_pos, q, s, d
69:1, 163:1, 0, 3, [], [], 0.370
69:1, 1895:8, 0, 4, [], [], 0.370
69:1, 2382:17, 0, 8, [], [], 0.370
69:1, 2605:4, 0, 1, [], [], 0.370
69:1, 3459:12, 0, 8, [], [], 0.370
69:1, 3667:5, 0, 3, [], [], 0.370
69:1, 4981:3, 0, 9, [], [], 0.370
69:1, 5186:2, 0, 4, [], [], 0.370
69:1, 7059:2, 0, 0, [], [], 0.370
69:1, 7373:14, 0, 0, [], [], 0.370
69:1, 7769:1, 0, 5, [], [], 0.370
69:1, 7815:7, 0, 6, [], [], 0.370
69:1, 7830:8, 0, 2, [], [], 0.370
69:1, 9342:4, 0, 2, [], [], 0.370
69:1, 10087:2, 0, 0, [], [], 0.370
69:1, 11720:8, 0, 20, [], [], 0.370
69:1, 11732:3, 0, 3, [], [], 0.370
69:1, 12537:5, 0, 5, [], [], 0.370
69:1, 14152:2, 0, 7, [], [], 0.370
69:1, 15451:2, 0, 0, [], [], 0.370
69:1, 15529:3, 0, 7, [], [], 0.370
69:1, 16405:14, 0, 9, [], [], 0.370
69:1, 17741:9, 0, 4, [], [], 0.370
69:1, 17857:3, 0, 6, [], [], 0.370
69:1, 17857:4, 0, 6, [], [], 0.370
69:1, 17879:2, 0, 3, [], [], 0.370
69:1, 18725:6, 0, 1, [], [], 0.370
69:1, 22443:7, 0, 1, [], [], 0.370
69:1, 22443:16, 0, 3, [], [], 0.370
69:1, 22443:18, 0, 0, [], [], 0.370
69:1, 22443:19, 0, 2, [], [], 0.370
69:1, 22636:4, 0, 13, [], [], 0.370
69:1, 22795:1, 0, 1, [], [], 0.370
69:1, 23711:14, 0, 4, [], [], 0.370
69:1, 23711:16, 0, 1, [], [], 0.370
69:1, 25507:6, 0, 2, [], [], 0.370
69:1, 25507:7, 0, 0, [], [], 0.370
69:1, 25507:8, 0, 3, [], [], 0.370
69:1, 25507:9, 0, 3, [], [], 0.370
69:1, 25630:14, 0, 6, [], [], 0.370
69:1, 26606:7, 0, 3, [], [], 0.370
69:1, 26795:12, 0, 5, [], [], 0.370
69:1, 26795:14, 0, 3, [], [], 0.370
69:1, 26795:20, 0, 2, [], [], 0.370
69:1, 27817:1, 0, 5, [], [], 0.370
69:1, 27880:5, 0, 8, [], [], 0.370
69:1, 27904:4, 0, 0, [], [], 0.370
69:1, 30277:5, 0, 14, [], [], 0.370
69:1, 31364:6, 0, 8, [], [], 0.370
69:1, 31364:11, 0, 12, [], [], 0.370
69:1, 31364:13, 0, 7, [], [], 0.370
69:1, 31538:18, 0, 1, [], [], 0.370
69:1, 32001:5, 0, 2, [], [], 0.370
