TQ:Q, TS:S, q_pos, s_pos, q, s, d
77637:6, 2:0, 0, 2, [], [], 0.000
77637:6, 4:2, 0, 2, [], [], 0.000
77637:6, 12:6, 0, 0, [], [], 0.000
77637:6, 20:0, 0, 2, [], [], 0.000
77637:6, 22:9, 0, 2, [], [], 0.000
77637:6, 31:1, 0, 4, [], [], 0.000
77637:6, 36:0, 0, 2, [], [], 0.000
77637:6, 36:3, 0, 2, [], [], 0.000
77637:6, 36:4, 0, 2, [], [], 0.000
77637:6, 37:6, 0, 0, [], [], 0.000
77637:6, 38:3, 0, 1, [], [], 0.000
77637:6, 40:6, 0, 0, [], [], 0.000
77637:6, 41:3, 0, 0, [], [], 0.000
77637:6, 42:5, 0, 2, [], [], 0.000
77637:6, 43:5, 0, 0, [], [], 0.000
77637:6, 57:0, 0, 2, [], [], 0.000
77637:6, 57:4, 0, 2, [], [], 0.000
77637:6, 57:6, 0, 2, [], [], 0.000
77637:6, 57:11, 0, 3, [], [], 0.000
77637:6, 57:13, 0, 2, [], [], 0.000
77637:6, 66:3, 0, 2, [], [], 0.000
77637:6, 66:4, 0, 2, [], [], 0.000
77637:6, 66:6, 0, 2, [], [], 0.000
77637:6, 66:7, 0, 2, [], [], 0.000
77637:6, 70:1, 0, 3, [], [], 0.000
77637:6, 70:2, 0, 3, [], [], 0.000
77637:6, 77:0, 0, 2, [], [], 0.000
77637:6, 78:0, 0, 2, [], [], 0.000
77637:6, 78:3, 0, 2, [], [], 0.000
77637:6, 78:4, 0, 2, [], [], 0.000
77637:6, 78:5, 0, 2, [], [], 0.000
77637:6, 81:1, 0, 0, [], [], 0.000
77637:6, 85:6, 0, 0, [], [], 0.000
77637:6, 97:5, 0, 0, [], [], 0.000
77637:6, 115:6, 0, 0, [], [], 0.000
77637:6, 117:2, 0, 3, [], [], 0.000
77637:6, 117:3, 0, 2, [], [], 0.000
77637:6, 126:5, 0, 0, [], [], 0.000
77637:6, 138:0, 0, 2, [], [], 0.000
77637:6, 149:6, 0, 0, [], [], 0.000
77637:6, 159:4, 0, 1, [], [], 0.000
77637:6, 192:2, 0, 2, [], [], 0.000
77637:6, 192:6, 0, 2, [], [], 0.000
77637:6, 194:0, 0, 2, [], [], 0.000
77637:6, 195:0, 0, 2, [], [], 0.000
77637:6, 195:1, 0, 5, [], [], 0.000
77637:6, 195:3, 0, 2, [], [], 0.000
77637:6, 204:6, 0, 0, [], [], 0.000
77637:6, 208:6, 0, 0, [], [], 0.000
