TQ:Q, TS:S, q_pos, s_pos, q, s, d
77637:5, 2:0, 0, 1, [], [], 0.000
77637:5, 4:2, 0, 1, [], [], 0.000
77637:5, 12:5, 0, 0, [], [], 0.000
77637:5, 20:0, 0, 1, [], [], 0.000
77637:5, 22:9, 0, 1, [], [], 0.000
77637:5, 31:1, 0, 1, [], [], 0.000
77637:5, 36:0, 0, 1, [], [], 0.000
77637:5, 36:3, 0, 1, [], [], 0.000
77637:5, 36:4, 0, 1, [], [], 0.000
77637:5, 99848:5, 0, 2, [], [], 0.000
77637:5, 2:0, 1, 8, [], [], 0.000
77637:5, 4:2, 1, 8, [], [], 0.000
77637:5, 7:3, 1, 1, [], [], 0.000
77637:5, 12:5, 1, 1, [], [], 0.000
77637:5, 14:7, 1, 2, [], [], 0.000
77637:5, 20:0, 1, 8, [], [], 0.000
77637:5, 22:9, 1, 8, [], [], 0.000
77637:5, 31:1, 1, 16, [], [], 0.000
77637:5, 36:0, 1, 8, [], [], 0.000
77637:5, 99848:8, 1, 1, [], [], 0.000
77637:5, 4:2, 2, 15, [], [], 0.000
77637:5, 12:5, 2, 2, [], [], 0.000
77637:5, 20:0, 2, 16, [], [], 0.000
77637:5, 22:9, 2, 16, [], [], 0.000
77637:5, 31:1, 2, 28, [], [], 0.000
77637:5, 36:0, 2, 16, [], [], 0.000
77637:5, 36:3, 2, 13, [], [], 0.000
77637:5, 37:5, 2, 2, [], [], 0.000
77637:5, 40:5, 2, 2, [], [], 0.000
77637:5, 99848:8, 2, 1, [], [], 0.000
77637:5, 2:0, 3, 13, [], [], 0.000
77637:5, 4:2, 3, 20, [], [], 0.000
77637:5, 12:5, 3, 3, [], [], 0.000
77637:5, 14:7, 3, 3, [], [], 0.000
77637:5, 20:0, 3, 17, [], [], 0.000
77637:5, 22:9, 3, 19, [], [], 0.000
77637:5, 23:1, 3, 3, [], [], 0.000
77637:5, 25:3, 3, 1, [], [], 0.000
77637:5, 31:1, 3, 34, [], [], 0.000
77637:5, 99848:8, 3, 1, [], [], 0.000
77637:5, 12:5, 4, 4, [], [], 0.000
77637:5, 31:1, 4, 36, [], [], 0.000
77637:5, 37:5, 4, 4, [], [], 0.000
77637:5, 41:2, 4, 4, [], [], 0.000
77637:5, 42:2, 4, 10, [], [], 0.000
77637:5, 43:4, 4, 4, [], [], 0.000
77637:5, 66:7, 4, 7, [], [], 0.000
77637:5, 70:2, 4, 21, [], [], 0.000
77637:5, 85:5, 4, 4, [], [], 0.000
77637:5, 99848:8, 4, 1, [], [], 0.000
77637:5, 12:5, 5, 5, [], [], 0.000
77637:5, 37:5, 5, 5, [], [], 0.000
77637:5, 85:5, 5, 5, [], [], 0.000
77637:5, 115:5, 5, 5, [], [], 0.000
77637:5, 146:2, 5, 0, [], [], 0.000
77637:5, 149:5, 5, 5, [], [], 0.000
77637:5, 204:5, 5, 5, [], [], 0.000
77637:5, 208:5, 5, 5, [], [], 0.000
77637:5, 214:5, 5, 4, [], [], 0.000
77637:5, 99848:8, 5, 2, [], [], 0.000
